target_id	tpm01	tpm02	tpm03	tpm04	tpm05	tpm06	tpm07	tpm08	tpm09	tpm10	tpm11	tpm12	tpm13	tpm14	tpm15
sericin 2	6176.66	3971.8	438.164	2169.41	30.9114	1.39291	6.1812	6204.94	290.582	308.319	311.188	1.51546	0.264485	0.833195	0.166964
sericin 1	34.3627	42.578	140.042	147.008	6.07406	0.645608	2.94E-08	2770.88	283.851	292.185	295.628	122.306	0.0503221	0	0
fibroin L chain	58425.5	58629.9	41108.9	21040	51820.3	62895.2	38327.5	1791.66	7780.45	7600.87	7624.09	1682.16	53068.5	63858.7	59079
fibroin H chain	1068.15	229.478	152.677	239.447	296.698	325.211	1111.35	2.91849	1.51234	2.15017	2.3022	1.81429	33.8875	32.8978	35.5443
KWMTBOMO04643.mrna1	3918.3	1541.41	9368.48	18297.4	10975.2	19530.3	7213.28	902.281	41325.2	39985.1	40061.1	6434.87	8234.06	10135.8	12492.5
KWMTBOMO09876.mrna1	11375	11116.7	7987.83	7945.63	9137.04	9907.33	12489.4	3234.35	7579.67	7364.94	7459.21	10035.4	11958.6	12038.1	10910.1
KWMTBOMO01381.mrna1	7125.64	8217.75	6627.45	9781.49	6657.44	10389.8	6844.35	1795.33	11179	11074.4	11030.5	7297.72	10130.2	9125.22	9214.79
KWMTBOMO08666.mrna1	8477.5	7794.86	8267.71	9576.13	8799.38	10445.1	13275.4	2512.87	1134.18	1138.19	1121.63	10828.4	9500.47	9116.07	9484.97
KWMTBOMO09230.mrna1	6552.21	7376.15	5357.34	6588.05	5049.21	8183.11	8446.52	2432.79	10515.6	10537.8	10429.7	9162.2	12577.3	12293.3	11006.7
KWMTBOMO15114.mrna1	9243.6	7708.03	11490.8	10469.3	11701	11477.4	12978.7	2812.34	3047.67	3083.59	3099.44	7274.16	7451.36	7257.69	7555.25
KWMTBOMO10211.mrna1	6898.68	6849.13	7613.23	6296.36	8223.26	7284.88	14450.7	2527.57	13792.4	13618	13631.1	5201.77	7261.49	6651.62	6476.82
KWMTBOMO07367.mrna1	4905.78	7475.87	7268	6638.14	7326.88	8191.64	7257.65	2403.99	4197.32	4359.57	4327.74	6175.13	8409.69	8248.11	8287.29
KWMTBOMO07688.mrna1	7835.49	5994.81	6902.39	7788.84	7009.35	6887.72	8837.34	1709.32	1059.33	1024.44	1008.27	9660.38	8355.31	8465.39	8120.66
KWMTBOMO14169.mrna1	6929.11	6481.55	8453.92	10377	8752.29	9601.32	7305.25	2423.45	797.89	790.346	782.263	8366.26	7183.23	6922.88	6910.84
KWMTBOMO05068.mrna1	4881.03	6447.38	6285.05	5603.54	5726.47	7052.52	5290.55	3802.1	21548.1	21347.3	21257.8	6745.5	10701.1	10310.5	9424.55
KWMTBOMO01001.mrna1	14324.1	6827.23	3945.11	3217.53	6682.53	9389.15	8207.16	876.137	2021.79	1977.56	2008.56	448.644	25996.8	36899.8	28498.6
