target_id	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm
sericin 2	438.164	2169.41	9178.08	7773.85	6204.94	290.582	308.319	311.188	10419.8	10483.8	12745.2	591.406	16.4619	12.0365	1.51546	0.427177
sericin 1	140.042	147.008	226.881	200.17	2770.88	283.851	292.185	295.628	0	0	0	135.656	240.59	108.282	122.306	344.885
KWMTBOMO04643.mrna1	9368.48	18297.4	9940.21	18740.8	902.281	41325.2	39985.1	40061.1	12948.6	13139.2	13448.3	8039.45	8913.75	9462.08	6434.87	8407.95
KWMTBOMO09230.mrna1	5357.34	6588.05	3848.33	6736.6	2432.79	10515.6	10537.8	10429.7	4723.25	5046.58	5032.43	10090.3	9091.58	8623.03	9162.2	9896.97
KWMTBOMO09876.mrna1	7987.83	7945.63	5354.6	7433.22	3234.35	7579.67	7364.94	7459.21	5403.67	5271.07	5108.2	10317	10089.1	8560.08	10035.4	10779.4
KWMTBOMO14169.mrna1	8453.92	10377	7011.98	9881.67	2423.45	797.89	790.346	782.263	4371.12	4328.76	4402.17	8704.14	8095.25	7864.6	8366.26	8725.03
KWMTBOMO01381.mrna1	6627.45	9781.49	5416.24	10004.3	1795.33	11179	11074.4	11030.5	4004.18	4212	3979.49	8224.63	7296.64	6662.93	7297.72	6908.63
KWMTBOMO08666.mrna1	8267.71	9576.13	6201.49	7910.21	2512.87	1134.18	1138.19	1121.63	4826.69	4975.64	4983.37	11010.5	9341.98	9642.47	10828.4	11195.6
KWMTBOMO15114.mrna1	11490.8	10469.3	9086.15	10042.9	2812.34	3047.67	3083.59	3099.44	3925.95	3915.38	3901.92	7542.43	6718.1	6712.45	7274.16	7546.71
KWMTBOMO05068.mrna1	6285.05	5603.54	4500.39	5695.68	3802.1	21548.1	21347.3	21257.8	4554	4559.01	4564.65	7330.1	6694.31	6587.69	6745.5	7241.59
KWMTBOMO07688.mrna1	6902.39	7788.84	5012.33	6926.41	1709.32	1059.33	1024.44	1008.27	4026.53	4416.04	4482.73	10041.9	8381.24	8523.74	9660.38	9283.18
KWMTBOMO07367.mrna1	7268	6638.14	5676.29	6447.54	2403.99	4197.32	4359.57	4327.74	3754.79	3813.29	3869.37	6141.86	5853.32	5871.49	6175.13	6194.95
KWMTBOMO06721.mrna1	5680.44	6648.4	4116.71	6037.18	4010.38	1511.08	1489.5	1472.44	5038.39	4963.65	4883.43	8906.41	8671.8	8236.21	8700.05	9301.22
KWMTBOMO09788.mrna1	1536.45	2795.23	2549.04	3660.77	1854.83	5381.62	5404.5	5310.79	4413.25	4742.39	5481.21	7361.69	6737.46	7045.09	7170.77	7048.41
KWMTBOMO10211.mrna1	7613.23	6296.36	6068.21	6119.29	2527.57	13792.4	13618	13631.1	2599.96	2779.09	2472.09	5251.53	4964.23	4568.58	5201.77	5298.16
KWMTBOMO08797.mrna1	5870.97	6032.13	4644.75	5868.13	2758.55	3763.99	3677.41	3729.64	3900.01	4185.87	4175.21	7860.1	7337	6903.12	7561.16	7706.49
KWMTBOMO02278.mrna1	4756.9	6586.68	4698.55	6448.67	2617.34	6506.98	6601.52	6561.45	3223.89	3391.29	3599.48	5199.8	5603.13	5253.29	5122.4	5493
KWMTBOMO06974.mrna1	5406.68	5714.86	3822.45	5260.78	1158.64	4987	4985.15	5043.27	2964.82	3050.96	2930.57	5896.83	5416.45	5042.36	5727.93	6384.62
KWMTBOMO02059.mrna1	4557.44	5073.6	2973.38	4829.29	1853.91	5060.33	5058.1	5015.07	3229	3405.74	3364.57	6332.9	6180.23	5744.98	6204.56	6446.03
KWMTBOMO05355.mrna1	3579.89	4990.64	3242.2	5221.95	4957.95	783.57	783.424	783.052	4733.88	5049.76	6199.1	8685.22	7522.51	8895.42	7788.39	6719.03
KWMTBOMO00838.mrna1	4292.61	4106.32	3150.54	3916.49	2832.8	5603.67	5467.64	5469.51	4252.3	4494.98	4136.31	7736.57	7183.47	6898.11	7335	7478.06
KWMTBOMO08064.mrna1	6517.67	5956.21	4584.33	5623.44	1873.27	2551.04	2588.58	2557.32	2784.19	2990.21	2947.05	5669	5533.86	5288.9	5597.56	5869.53
KWMTBOMO12706.mrna1	6229.89	6775.82	4263.51	6452.55	1493.27	2188.91	2077.83	2087.44	3389.92	3597.19	3335.7	6304.31	5937.83	5587.53	6014.63	6390.38
KWMTBOMO12287.mrna1	6040.07	5791.99	4270.34	5242.46	2497.15	2069.38	2049.58	2065.11	3273.27	3445.19	3407.39	6553.44	6317.52	5975.33	6488.75	6382.61
KWMTBOMO13074.mrna1	5374.75	5336.16	3873.81	5085.34	2141.3	9014.45	8920.19	8968.44	2285.49	2507.64	2358.69	4670.96	4489.58	4102.5	4588.59	5037
KWMTBOMO10509.mrna1	5589.33	5319.39	4001.08	5097.38	3638.84	2857.38	2884.4	2847.1	3433.38	3449.83	3263.61	6116.72	5941.15	5583.63	6178.3	6583.6
KWMTBOMO05979.mrna1	4680.52	5345.1	3298.66	4786.24	3626.06	1504.09	1480.25	1498.41	4020.56	4065.07	4170.62	6927.42	6593.25	6382.1	6552.2	7323.97
KWMTBOMO07888.mrna1	5505.4	5470.51	4359.01	5161.35	2025.42	1202.62	1210.11	1216.86	2718.47	3001.46	2903.48	4857.12	4915.65	4451.23	4796.52	4963.49
KWMTBOMO01941.mrna1	5834.07	4797.11	4472.28	4412.61	904.613	11639.4	11614.2	11619.1	2366.22	2550.58	2570.49	4461.82	4027.78	3982.39	4314.9	4167.1
KWMTBOMO01273.mrna1	5010.25	5239.02	3643.8	4814.4	2135.99	1862.49	1880.32	1863.23	3482.78	3367.93	3477.09	6696.38	6171.79	6188.37	6442.61	6691.53
KWMTBOMO15816.mrna1	137.42	327.093	719.975	1549.76	4094.82	4411.27	4287.35	4292.52	0.856166	0.317451	0.0862217	6327.91	14561.7	9624.77	4880.86	11909.5
KWMTBOMO09205.mrna1	4909.66	4849.32	3352.19	4419.92	3259.54	3055.38	3019.51	3034.04	3768.69	3901.86	3916.15	7600.89	7053.17	6813.68	7213.22	7720.15
KWMTBOMO01068.mrna1	4395.88	4934.09	3938.22	5837.96	1965.92	1837.65	1775.74	1781.79	3791.94	3918.01	3671.92	6609.65	6524.35	6070.08	6387.22	6870.6
KWMTBOMO09232.mrna1	5257.72	4451.3	3725.68	4374.38	1659.55	1376.68	1375.45	1402.44	2406.31	2546.77	2492.68	4738.41	4717.99	4357.45	4616.24	4842.91
KWMTBOMO13569.mrna1	4535.04	4939.98	3533.71	4934.69	1926.86	2799.92	2810.9	2836.43	2825.11	3001.36	2976.44	5817.73	5376.36	5187.69	5428.7	5906.22
KWMTBOMO08699.mrna1	4516.63	4627.12	3217.96	4751.97	2969.67	3113.41	3010.57	2987.04	3313.23	3450.43	3542.87	6265.96	6002.42	5787.98	6097.74	6386.38
KWMTBOMO07200.mrna1	4390.11	5279.14	3617.12	5084.48	1661.33	1533.27	1494.95	1495.81	2823.13	3037.45	3020.7	5183.75	5009.9	4813.24	4835.69	5234.9
KWMTBOMO13960.mrna1	4785.93	4463.35	3364.48	4463.33	1567.91	3402.53	3344.85	3346.74	2500.01	2607.94	2553.76	5335.96	5014.34	4770.53	5120.28	5297.54
KWMTBOMO07772.mrna1	4077.17	4781.23	3669.35	5348.62	1437.22	1091.18	1095.73	1053.05	2595.52	2644.02	2573.02	4916.88	4713.59	4512.06	4766.51	4928.36
KWMTBOMO02006.mrna1	4241.86	4326.44	3268.11	4125.31	1314.05	382.261	374.431	370.242	2729.12	2742.26	3027.42	5954.93	5445.69	5529.3	5732.28	5493.36
KWMTBOMO03951.mrna1	4349.13	4311.32	3503.5	4237.77	2306.1	3393.12	3399.3	3393.21	2776.1	2714.82	2714.37	4016.44	4122.67	3838.97	3943.12	4019.95
KWMTBOMO08961.mrna1	5566.66	4670.19	4401.59	4450.15	1186.2	667.376	677.336	671.693	2268.4	2393.65	2234.2	3913.47	3875.47	3421.7	3813.72	4028.11
KWMTBOMO11987.mrna1	4485.87	5482.68	3234.03	5546.36	670.606	1731.55	1635.71	1627.64	2187.07	2353.07	2202.1	4464.75	4259.15	3990	4027.11	4564.56
KWMTBOMO02477.mrna1	4066.95	3846.17	3266.4	4001.36	2001.61	1690.05	1624.05	1638.96	3208.1	3079.11	3223.52	5788.3	5627.28	5361.65	5737.69	6232.59
KWMTBOMO06480.mrna1	3844.24	3895.01	3084.57	4220.9	2075.29	901.004	863.237	848.055	3059.65	3203.91	3222.39	5665.73	5547.53	5294.58	5586.18	5962.77
KWMTBOMO06229.mrna1	3898.72	4030.4	2656.7	3675.36	1787.66	509.294	493.99	494.82	2860.24	3018.03	3147.82	5911.48	5404.39	5543.87	5685.73	5516.53
KWMTBOMO08440.mrna1	3954.14	5575.4	2766.91	5183.29	1324.51	902.904	897.188	886.981	2467.21	2663.1	2541	5161.43	4672.32	4560.25	4880.3	5230.67
KWMTBOMO12483.mrna1	4000.04	4405.49	2719.67	4000.61	852.371	1687.72	1665.13	1669.43	2573.55	2625.65	2526.71	5006.81	4770.55	4552.78	4842.16	5059.72
KWMTBOMO08894.mrna1	3984.88	3996.89	2822.53	3518.67	1940.77	1954.37	1967.83	1956.01	2975.72	3131.02	3163.06	5288.1	5277.61	4858.27	5006.94	5164.4
KWMTBOMO02724.mrna1	3835.91	3137.17	3519.88	3760.93	1660.03	350.009	334.563	343.779	2339.25	2320.45	2256.16	4113.54	3969.39	3848.11	3977.39	4244.79
KWMTBOMO13800.mrna1	4380.82	3852.45	3133.7	3412.5	2132.72	527.779	542.819	559.78	2735.19	2887.45	2925.97	5366.64	5607.68	5234.2	5468.22	5589.11
KWMTBOMO08820.mrna1	3503.36	4784.2	2926.09	4185.59	2005.61	1153.77	1139.05	1138.97	2297.09	2303.98	2262.36	4293.82	3972.85	3602.86	4188.94	4520.09
KWMTBOMO11255.mrna1	4229.13	3883.06	2811.79	3614.41	1555.81	1292.32	1335.7	1337.42	2330.72	2550.61	2441.48	4885.67	4534.6	4363.02	4635.89	5121.12
KWMTBOMO01320.mrna1	3265.51	3294.9	2389.99	2943.64	1886.85	3143.62	3112.72	3108.13	2094.49	2201.04	2189.85	4279.52	4239.62	4023.42	4363.67	4426.83
KWMTBOMO14639.mrna1	3582.67	3621.78	2824.47	3387.32	796.286	1107.17	1068.35	1101.57	2005.2	2155.09	2101.82	4252.79	3974.41	3684.24	4203.31	4103.04
KWMTBOMO12497.mrna1	3512.98	4270.32	2604.57	3769.39	1436.27	401.908	383.555	392.82	2474.62	2594.33	2698.59	5453.39	4573.84	4886.33	5168.63	5235.36
KWMTBOMO05723.mrna1	3368.57	3761.42	2799.03	3674.58	1801.97	1019.84	988.456	1017.54	2302.41	2409.34	2311.71	4078.24	3817.48	3601.62	3811.2	4074.01
KWMTBOMO09442.mrna1	3304.62	3234.36	2725.61	3675.53	2209.38	608.28	607.674	606.799	2580.86	2724.53	2683.32	4849.3	4553.6	4635.69	4594.39	4874.4
KWMTBOMO03002.mrna1	1435.76	2314.26	3354.9	4012.03	1528.73	500.09	502.355	500.954	3007.88	2863.84	2624.67	3791.02	3766.78	3597.51	3212.07	3065.8
KWMTBOMO13455.mrna1	3568.05	3837.94	2486.62	3359.87	1314.91	893.113	861.359	885.778	1951.75	1964.26	2116.68	4277.22	3618.65	3544.24	4215.68	3853.43
KWMTBOMO08543.mrna1	3315.48	3652.9	2227.88	3223.6	1532.57	520.88	485.38	498.278	2419.38	2507.11	2606.46	5282.94	4658.08	4607.65	5172.44	4794.59
KWMTBOMO08100.mrna1	3746.12	3355.44	2308.33	3371.19	1259.24	692.83	715.823	689.26	2362.98	2423.24	2355.67	4803.81	4143.95	4094.2	4501.89	4828.29
KWMTBOMO05675.mrna1	3796.99	2768.22	2993.89	3120.36	1663.19	936.396	968.623	954.348	1902.37	2030.46	2079.22	3926.19	3504.92	3451.42	3818.54	3502.61
KWMTBOMO11985.mrna1	3205.75	3657.88	2269.15	3357.61	1886.99	389.286	387.401	387.375	2353.08	2333.07	2512.36	4715.14	4307.93	4332.45	4434.06	4695.53
KWMTBOMO05228.mrna1	2706.2	3605.48	2933.34	3687.05	1555.65	1599.59	1567.82	1542.24	1773.39	1880.51	2264	4024.59	3694.26	3828.3	3754.74	3852.29
KWMTBOMO11731.mrna1	2094.04	2903.97	1917.41	2781.01	2370.96	373.779	360.939	361.383	2699.95	2723.9	3144.17	5140.21	4951.81	5212.6	5311.45	4986.55
KWMTBOMO02542.mrna1	1433.5	1504.23	1262.87	1170.66	8548.57	19570.2	18784	18827.4	525.891	540.27	2342.24	1023.21	3375.54	8202.34	3078.53	7439.21
KWMTBOMO08983.mrna1	2944.61	3546.56	2127.76	3351.44	1730.29	849.303	805.265	815.363	2242.31	2361.01	2239.29	4373.15	3988.25	3831.54	4069.41	4427.88
KWMTBOMO05280.mrna1	3052.06	3981.04	2194.78	3474.54	1408.24	427.784	424.278	402.221	1985.65	2026.92	2052.33	3715.92	3410.52	3321.74	3647.03	3892.34
KWMTBOMO12428.mrna1	3619.72	3501.62	2194.88	3011.82	917.688	426.606	425.603	425.041	1849.55	1937.68	2054.13	3990.17	3484.45	3377.34	3945.54	3640.08
KWMTBOMO01148.mrna1	2559.24	3231.35	2123.23	3207.17	1647.12	492.422	476.777	492.374	2323.34	2386.53	2522.9	4592.93	4634.7	4154.94	4066.99	4416.46
KWMTBOMO01055.mrna1	3282.91	3859.59	2332.6	3587.14	1450.32	801.28	790.223	780.915	1407.05	1507.14	1507.26	3170.96	2799.08	2686.74	3105.24	3035.6
KWMTBOMO10591.mrna1	3113.36	3018.16	2142.6	2845.91	1372.6	521.543	528.215	529.521	2024.72	2047.05	2059.47	3798.84	3573.28	3468.43	3702.79	4008.81
KWMTBOMO09342.mrna1	7828.77	4338.5	2537.93	2419.83	446.463	2288.61	2313.26	2305.32	253.467	393.354	335.772	3465.55	2951.18	2618.81	4504.98	4367.3
KWMTBOMO08399.mrna1	3230.61	2991.98	2082.99	2799.93	1136.48	877.853	836.981	831.984	1991.2	2091.77	1988.18	3695.59	3728.21	3428.19	3663.49	4112.41
KWMTBOMO12018.mrna1	3704.39	2676.82	2230.44	2644.08	1358.52	699.451	665.229	659.171	1687.86	1727.68	1674.48	3338.73	3045.71	3001.8	3124.49	3308.26
KWMTBOMO09300.mrna1	2724.49	3333.72	1964.52	2853.85	1724.52	482.51	496.201	501.118	1911.77	2074.52	2132.13	4751.95	4274.24	4136.23	4788.26	4629.51
KWMTBOMO10248.mrna1	3191.51	3059.48	2053.1	2783.05	1069.19	386.887	367.08	365.796	1597.05	1739.42	1781.17	4091.19	3391.69	3196.39	3991.65	3391.84
KWMTBOMO01918.mrna1	1193.6	1866.41	880.44	1354.92	746.904	6189.07	6098.68	6107.52	1106.55	943.209	1044.19	2928.48	4396.74	3354.38	3526.06	4490.26
